,Name,Height,Weight,Reach,Stance,DOB,Link
557,Vitor Belfort,"6' 0""",185 lbs,"74""",Southpaw,"Apr 01, 1977",http://ufcstats.com/fighter-details/0ee783aa00e468f0
558,Rodolfo Bellato,"6' 3""",205 lbs,"75""",Orthodox,"Feb 05, 1996",http://ufcstats.com/fighter-details/69898645d600abdb
559,Danilo Belluardo,"6' 0""",155 lbs,"74""",Southpaw,"Jul 21, 1994",http://ufcstats.com/fighter-details/c3f6db17cea09ca7
560,Joey Beltran,"6' 1""",185 lbs,"75""",Orthodox,"Dec 08, 1981",http://ufcstats.com/fighter-details/46baf0f57edfa4df
561,Marco Beltran,"5' 8""",125 lbs,"69""",Orthodox,"May 18, 1986",http://ufcstats.com/fighter-details/ec71a892fada28c7
562,Joseph Benavidez,"5' 4""",125 lbs,"65""",Southpaw,"Jul 31, 1984",http://ufcstats.com/fighter-details/80eacd4da0617c57
563,Mike Bencic,"6' 0""",215 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/a71feb7ea7592a71
564,Dave Beneteau,"6' 2""",250 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/9fd1f08dd4aec14a
565,Karla Benitez,"5' 3""",113 lbs,--,,--,http://ufcstats.com/fighter-details/6104730621ff318d
566,Gabriel Benitez,"5' 8""",155 lbs,"71""",Southpaw,"Jun 15, 1988",http://ufcstats.com/fighter-details/436f970c9ea9169c
567,Charles Bennett,"5' 8""",155 lbs,--,Orthodox,"Nov 23, 1979",http://ufcstats.com/fighter-details/8dc4f34c1f50d00d
568,Josh Bennett,"6' 4""",259 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/c3ac8d0da7b05772
569,DeAnna Bennett,"5' 4""",125 lbs,"68""",Orthodox,"Nov 18, 1984",http://ufcstats.com/fighter-details/404ecb2700844072
570,Lance Benoist,"5' 11""",170 lbs,"72""",Southpaw,"Aug 26, 1988",http://ufcstats.com/fighter-details/5431dccc09118234
571,Joe Benoit,"5' 9""",170 lbs,--,Orthodox,"Mar 12, 1982",http://ufcstats.com/fighter-details/a30f6d375dea5f9b
572,Ryan Benoit,"5' 5""",125 lbs,"68""",Orthodox,"Aug 25, 1989",http://ufcstats.com/fighter-details/20999e27ddd94bda
573,Pat Benson,"5' 9""",155 lbs,--,,--,http://ufcstats.com/fighter-details/a25f3dc0df974597
574,Len Bentley,"5' 9""",155 lbs,--,,"Nov 30, 1982",http://ufcstats.com/fighter-details/592d23aed850e652
575,Steve Berger,"5' 11""",170 lbs,--,Orthodox,"May 20, 1973",http://ufcstats.com/fighter-details/21b1132949f2a9b0
576,Kenneth Bergh,"6' 2""",205 lbs,"74""",Orthodox,"Jun 26, 1989",http://ufcstats.com/fighter-details/aa8189053b3a8994
577,Bret Bergmark,"5' 9""",170 lbs,--,,"Nov 24, 1973",http://ufcstats.com/fighter-details/2891c9f7b26b26fc
578,Keith Berish,"6' 0""",205 lbs,--,Orthodox,"Nov 14, 1985",http://ufcstats.com/fighter-details/e3779ef06e98f185
579,Dennis Bermudez,"5' 6""",155 lbs,"66""",Orthodox,"Dec 13, 1986",http://ufcstats.com/fighter-details/6f242453c91a5af0
580,Manny Bermudez,"5' 10""",145 lbs,"71""",Orthodox,"Jul 16, 1994",http://ufcstats.com/fighter-details/2dc1bc1a02961656
581,Talita Bernardo,"5' 4""",135 lbs,"68""",Orthodox,"Mar 04, 1987",http://ufcstats.com/fighter-details/5b2325cd70dbe2ea
582,Dave Berry,--,--,--,,--,http://ufcstats.com/fighter-details/b3bbe88fecd6a0d2
583,Keith Berry,"6' 1""",185 lbs,--,,"Oct 25, 1987",http://ufcstats.com/fighter-details/0b935b9bbbe5fc07
584,Dieusel Berto,"5' 9""",200 lbs,--,,--,http://ufcstats.com/fighter-details/0db70ca89e1c7374
585,Edson Berto,"5' 6""",155 lbs,--,Orthodox,"Jul 05, 1983",http://ufcstats.com/fighter-details/66766984842c13dc
586,Allen Berube,"5' 8""",155 lbs,--,Orthodox,"Aug 25, 1974",http://ufcstats.com/fighter-details/aebfb84d1f6d2d8c
587,Anton Berzin,"6' 2""",205 lbs,--,Orthodox,"Sep 29, 1989",http://ufcstats.com/fighter-details/8ba8e8d7eafa7267
588,Scott Bessac,"6' 4""",245 lbs,--,,--,http://ufcstats.com/fighter-details/3f24c96753dbd9f9
589,Matt Bessette,"5' 10""",145 lbs,"70""",Orthodox,"Dec 28, 1984",http://ufcstats.com/fighter-details/0b8d512c79b4baf3
590,Khadzhi Bestaev,"6' 6""",185 lbs,"76""",,"Jul 16, 1988",http://ufcstats.com/fighter-details/e05f4ce199baca91
591,Fernando Bettega,--,170 lbs,--,,"Mar 10, 1980",http://ufcstats.com/fighter-details/a524710c3ef918fa
592,Arjan Bhullar,"6' 1""",245 lbs,"75""",Orthodox,"May 13, 1986",http://ufcstats.com/fighter-details/7e511f8d842a109d
593,KB Bhullar,"6' 4""",185 lbs,"78""",Switch,"Oct 12, 1991",http://ufcstats.com/fighter-details/9cd047a828dd7515
594,Bibulatov Magomed,"5' 5""",125 lbs,"65""",Orthodox,"Aug 22, 1988",http://ufcstats.com/fighter-details/87f19d19f4cb73f8
595,David Bielkheden,"5' 10""",155 lbs,"71""",Orthodox,"Jun 06, 1979",http://ufcstats.com/fighter-details/1efa064872f089d0
596,Blake Bilder,"5' 8""",145 lbs,"68""",Switch,"Jul 12, 1990",http://ufcstats.com/fighter-details/5095b0920a3602aa
597,Jonas Bilharinho,"5' 11""",145 lbs,"75""",Switch,"May 22, 1990",http://ufcstats.com/fighter-details/ebbf571f349e79d9
598,Jeremiah Billington,"5' 9""",205 lbs,--,Orthodox,"Nov 14, 1977",http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
599,Scott Bills,"5' 10""",170 lbs,--,,--,http://ufcstats.com/fighter-details/53f02bbc41d99432
600,Anthony Birchak,"5' 8""",135 lbs,"69""",Orthodox,"May 16, 1986",http://ufcstats.com/fighter-details/c5a126ace82a6025
601,Chris Birchler,"6' 3""",205 lbs,--,Switch,"Jun 05, 1987",http://ufcstats.com/fighter-details/8a22c6b4d29880a3
602,Michael Bisping,"6' 1""",185 lbs,"75""",Orthodox,"Feb 28, 1979",http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
603,Amaury Bitetti,"5' 9""",185 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/7a359ef685a304a7
604,Caio Bittencourt,"6' 0""",185 lbs,"75""",Orthodox,"May 22, 1991",http://ufcstats.com/fighter-details/a653cb5eb4b39339
605,Simon Biyong,--,205 lbs,--,,"Apr 05, 1991",http://ufcstats.com/fighter-details/27ab7257bf6a3b65
606,Jan Blachowicz,"6' 2""",205 lbs,"78""",Orthodox,"Feb 24, 1983",http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
607,Jason Black,"5' 8""",155 lbs,--,Orthodox,"Jul 15, 1972",http://ufcstats.com/fighter-details/b2f743746e8dcfa2
608,Brad Blackburn,"5' 10""",170 lbs,"73""",Orthodox,"May 25, 1977",http://ufcstats.com/fighter-details/7e69a4b0961aa555
609,Jason Blackford,--,--,--,,--,http://ufcstats.com/fighter-details/619d807fa54ae8f7
610,Tom Blackledge,--,205 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/2adb11835acd815b
611,Sherrard Blackledge,"5' 11""",155 lbs,"75""",Orthodox,"Aug 16, 1993",http://ufcstats.com/fighter-details/0e5c79b3594ff0ad
612,Da'Mon Blackshear,"5' 10""",135 lbs,"72""",Switch,"Aug 12, 1994",http://ufcstats.com/fighter-details/da22387a0407a2dc
613,Erin Blanchfield,"5' 4""",125 lbs,"66""",Orthodox,"May 04, 1999",http://ufcstats.com/fighter-details/669970f7feba8ecd
614,Maximo Blanco,"5' 8""",145 lbs,"71""",Orthodox,"Oct 16, 1983",http://ufcstats.com/fighter-details/4a1329cc8eb0928a
615,David Blanco,"5' 7""",145 lbs,--,,--,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
616,Curtis Blaydes,"6' 4""",265 lbs,"80""",Orthodox,"Feb 18, 1991",http://ufcstats.com/fighter-details/fa6796c55d6c5440
617,Tereza Bleda,"5' 9""",125 lbs,"71""",Orthodox,"Nov 30, 2001",http://ufcstats.com/fighter-details/59c438c81fbf3ece
618,Arlene Blencowe,"5' 5""",145 lbs,--,,"Apr 11, 1983",http://ufcstats.com/fighter-details/35d6337320a4ae48
619,Byron Bloodworth,"5' 8""",135 lbs,--,Orthodox,"Aug 16, 1983",http://ufcstats.com/fighter-details/ecdf14f4f8643d39
620,Dashawn Boatwright,"6' 0""",205 lbs,--,Orthodox,"Feb 29, 1988",http://ufcstats.com/fighter-details/046a85108610c0d2
621,Dan Bobish,"6' 2""",345 lbs,--,Southpaw,"Jan 26, 1970",http://ufcstats.com/fighter-details/f348d05403fad037
622,Mark Bocek,"5' 8""",155 lbs,"75""",Orthodox,"Oct 24, 1981",http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
623,Kyle Bochniak,"5' 7""",145 lbs,"70""",Orthodox,"Feb 05, 1987",http://ufcstats.com/fighter-details/c5af5750e8bae4f0
624,James Bochnovic,"6' 4""",205 lbs,"81""",Orthodox,"Feb 13, 1989",http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
625,Jeremy Boczulak,--,--,--,,--,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
626,Tim Boetsch,"6' 0""",185 lbs,"74""",Orthodox,"Jan 28, 1981",http://ufcstats.com/fighter-details/c80095f6092271a7
627,Galore Bofando,"5' 11""",170 lbs,"72""",Switch,"May 22, 1982",http://ufcstats.com/fighter-details/8a56ea383fd26e52
628,Jay Bogan,--,145 lbs,--,,--,http://ufcstats.com/fighter-details/53c21779d84ceb75
629,Roman Bogatov,"5' 8""",155 lbs,"73""",Orthodox,"Dec 15, 1990",http://ufcstats.com/fighter-details/d61316139d68dbe3
630,Derek Bohi,"6' 4""",260 lbs,--,,--,http://ufcstats.com/fighter-details/70a1c7626b5e0599
631,Jerry Bohlander,"5' 11""",199 lbs,--,Orthodox,"Feb 12, 1974",http://ufcstats.com/fighter-details/93892752c5fc23ca
632,Mandy Bohm,"5' 7""",125 lbs,"71""",Orthodox,"Jul 30, 1989",http://ufcstats.com/fighter-details/297a2b35444c245b
633,Kotetsu Boku,"5' 9""",154 lbs,--,Orthodox,"May 27, 1977",http://ufcstats.com/fighter-details/d227958e8a0c1466
634,Gaston Bolanos,"5' 7""",135 lbs,"69""",Orthodox,"Sep 14, 1992",http://ufcstats.com/fighter-details/96924b0019b3aff1
635,Kyle Bolt,"6' 2""",185 lbs,--,,--,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
636,Denys Bondar,"5' 6""",125 lbs,"69""",Orthodox,"Jun 27, 1992",http://ufcstats.com/fighter-details/2526be54e6a0e62a
637,Luc Bondole,"6' 2""",205 lbs,--,,--,http://ufcstats.com/fighter-details/8691881b31c16b88
638,Tony Bonello,"6' 2""",185 lbs,--,,--,http://ufcstats.com/fighter-details/702a72aa7a266d86
639,Gabriel Bonfim,"6' 1""",170 lbs,"72""",Orthodox,"Aug 20, 1997",http://ufcstats.com/fighter-details/01641ba5df0c69b0
640,Ismael Bonfim,"5' 8""",155 lbs,"71""",Orthodox,"Dec 28, 1995",http://ufcstats.com/fighter-details/eb393afdbe3293d5
641,Jesse Bongfeldt,"6' 0""",185 lbs,--,Orthodox,"Aug 28, 1980",http://ufcstats.com/fighter-details/934de214814b8ff4
642,Marcos Bonilla,"5' 10""",145 lbs,--,,--,http://ufcstats.com/fighter-details/d311fbefff44a39b
643,Stephan Bonnar,"6' 4""",205 lbs,"79""",Orthodox,"Apr 04, 1977",http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
644,Rogerio Bontorin,"5' 5""",125 lbs,"67""",Orthodox,"Apr 25, 1992",http://ufcstats.com/fighter-details/07a2bdaa0afdd831
645,Ray Borg,"5' 4""",135 lbs,"63""",Orthodox,"Aug 04, 1993",http://ufcstats.com/fighter-details/a4de54ea806fb525
646,Igor Borisov,"6' 0""",235 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/0313bf497de9c470
647,Kevin Borjas,--,125 lbs,--,,--,http://ufcstats.com/fighter-details/34b96d52db1d26e6
648,Calen Born,"5' 8""",170 lbs,"72""",Switch,"May 24, 1988",http://ufcstats.com/fighter-details/3c85e04b08a05751
649,Caio Borralho,"5' 10""",185 lbs,"75""",Southpaw,"Jan 16, 1993",http://ufcstats.com/fighter-details/4126a78111c0855a
650,Zachary Borrego,"6' 2""",185 lbs,"78""",Switch,"Jul 18, 1996",http://ufcstats.com/fighter-details/b8fdb2903a2582a8
651,Viacheslav Borshchev,"5' 11""",155 lbs,"69""",Orthodox,"Jan 08, 1992",http://ufcstats.com/fighter-details/19c591115a58982c
652,Tanner Boser,"6' 2""",205 lbs,"75""",Orthodox,"Aug 02, 1991",http://ufcstats.com/fighter-details/04c8b08b16a5b99e
653,Steve Bosse,"5' 11""",205 lbs,"72""",Orthodox,"Jul 29, 1981",http://ufcstats.com/fighter-details/e023fa2e648ea0f1
654,Marcus Bossett,"6' 1""",215 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
655,Chris Bostick,--,--,--,,--,http://ufcstats.com/fighter-details/239224bedeb2c7a4
656,Poliana Botelho,"5' 8""",125 lbs,"67""",Orthodox,"Dec 15, 1988",http://ufcstats.com/fighter-details/5c126c6aac3ef364
657,Francois Botha,"6' 2""",260 lbs,--,Orthodox,"Sep 28, 1968",http://ufcstats.com/fighter-details/545d549d6bf87187
658,Gregory Bouchelaghem,"6' 2""",183 lbs,--,Switch,--,http://ufcstats.com/fighter-details/59851163aaf1aed8
659,Roy Boughton,"6' 0""",205 lbs,--,,--,http://ufcstats.com/fighter-details/2aaf0181432adf0b
660,Rich Bouphanouvong,"5' 7""",170 lbs,--,,--,http://ufcstats.com/fighter-details/611b9c068c9e2c44
661,Mike Bourke,"6' 0""",275 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
662,Jess Bouscal,--,155 lbs,--,,--,http://ufcstats.com/fighter-details/38b1417ec17072da
663,Tai Bowden,"5' 11""",230 lbs,--,,--,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
664,Melton Bowen,"6' 0""",225 lbs,--,Orthodox,"Jul 16, 1969",http://ufcstats.com/fighter-details/81ca2c245b19b3c5
665,Kyron Bowen,"6' 3""",185 lbs,"73""",Orthodox,"Dec 22, 1993",http://ufcstats.com/fighter-details/5488b3c67600333a
666,Brian Bowles,"5' 7""",135 lbs,"70""",Orthodox,"Jun 22, 1980",http://ufcstats.com/fighter-details/b26d3e3746fb4024
667,Roger Bowling,"5' 9""",155 lbs,"68""",Orthodox,"Dec 05, 1982",http://ufcstats.com/fighter-details/3b9f723e2720a238
668,Blake Bowman,"6' 2""",170 lbs,--,,--,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
669,Ashe Bowman,"5' 9""",155 lbs,--,,"Nov 17, 1976",http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
670,Anvar Boynazarov,"5' 9""",145 lbs,--,Orthodox,"Jan 10, 1989",http://ufcstats.com/fighter-details/4a191f4ea2fce7fc
671,Colley  Bradford,"5' 7""",145 lbs,--,,--,http://ufcstats.com/fighter-details/1433786ac76cf777
672,Kyle Bradley,"5' 9""",155 lbs,"71""",Orthodox,"Aug 19, 1982",http://ufcstats.com/fighter-details/a6959da32f0e6b5d
673,Paul Bradley,"5' 9""",170 lbs,--,Orthodox,"Jun 13, 1983",http://ufcstats.com/fighter-details/c7011de4765d2497
674,Sean Brady,"5' 10""",170 lbs,"72""",Orthodox,"Nov 23, 1992",http://ufcstats.com/fighter-details/45f7cb591c3ab00b
675,Ebenezer Fontes Braga,"6' 0""",199 lbs,--,Orthodox,"Apr 14, 1969",http://ufcstats.com/fighter-details/dc950d59dc590aca
676,Ramiz Brahimaj,"5' 10""",170 lbs,"72""",Orthodox,"Nov 17, 1992",http://ufcstats.com/fighter-details/3d074044a33825e7
677,Joe Brammer,"5' 8""",155 lbs,--,Orthodox,"Aug 23, 1983",http://ufcstats.com/fighter-details/013da757877044a2
678,David Branch,"6' 1""",185 lbs,"78""",Orthodox,"Sep 26, 1981",http://ufcstats.com/fighter-details/d2c55d1d2e67773b
679,Diego Brandao,"5' 7""",145 lbs,"64""",Orthodox,"May 27, 1987",http://ufcstats.com/fighter-details/c2e3e67b5911bfb7
680,Bruna Brasil,"5' 6""",115 lbs,"65""",Orthodox,"Sep 07, 1993",http://ufcstats.com/fighter-details/7138a15258dabf20
681,Michael Bravo,--,155 lbs,--,,--,http://ufcstats.com/fighter-details/dc63542668295c23
682,Martin Bravo,"5' 8""",145 lbs,"71""",Southpaw,"Sep 21, 1993",http://ufcstats.com/fighter-details/9c44f290f5726d95
683,Roman Bravo-Young,--,205 lbs,--,,--,http://ufcstats.com/fighter-details/37ce890a4670b287
684,Mike Breeden,"5' 10""",155 lbs,"70""",Orthodox,"Apr 21, 1989",http://ufcstats.com/fighter-details/d80ee110748171ac
685,Tom Breese,"6' 3""",185 lbs,"73""",Southpaw,"Sep 26, 1991",http://ufcstats.com/fighter-details/1588b787bda7b540
686,Elves Brener,"5' 10""",155 lbs,"72""",Orthodox,"Sep 27, 1997",http://ufcstats.com/fighter-details/48a9a128784d53d1
687,Chris Brennan,"5' 8""",170 lbs,--,Orthodox,"Oct 12, 1971",http://ufcstats.com/fighter-details/b19fc66613dc75b9
688,Charlie Brenneman,"5' 10""",155 lbs,"70""",Orthodox,"Feb 09, 1981",http://ufcstats.com/fighter-details/98f6da59d765ec94
689,Robert Breslin,"5' 11""",155 lbs,--,,--,http://ufcstats.com/fighter-details/e319d6697d41f3cf
690,Mack Brewer,--,205 lbs,--,,--,http://ufcstats.com/fighter-details/106a925d947a0de9
691,Marcos Brigagao,"6' 3""",205 lbs,"76""",Southpaw,"Apr 01, 1996",http://ufcstats.com/fighter-details/11547e29f253fb89
692,Jason Brilz,"5' 11""",205 lbs,"71""",Orthodox,"Jul 07, 1975",http://ufcstats.com/fighter-details/497ba5b12a4bfc47
693,Marcus Brimage,"5' 4""",135 lbs,"71""",Southpaw,"Apr 06, 1985",http://ufcstats.com/fighter-details/81801f57bd0a7c41
694,Aaron Brink,"6' 3""",205 lbs,--,Orthodox,"Nov 12, 1974",http://ufcstats.com/fighter-details/cf1a88371c8cb690
695,Henry Briones,"5' 8""",135 lbs,"69""",Orthodox,"Oct 22, 1980",http://ufcstats.com/fighter-details/01fcef7e3d051722
696,Marcelo Brito,"6' 1""",170 lbs,--,Orthodox,"Nov 27, 1977",http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
697,Joanderson Brito,"5' 8""",145 lbs,"72""",Orthodox,"Feb 11, 1995",http://ufcstats.com/fighter-details/791c8437b341fba5
698,Kaik Brito,--,155 lbs,--,,"Mar 26, 1997",http://ufcstats.com/fighter-details/b07f14fc0e53f8bd
699,Antwain Britt,"6' 1""",205 lbs,"77""",,"May 09, 1978",http://ufcstats.com/fighter-details/2833f50b20e96e52
700,Drew Brokenshire,--,--,--,,--,http://ufcstats.com/fighter-details/aa571d75f80fde7d
701,Mike Bronzoulis,"6' 0""",155 lbs,--,,"Jan 05, 1979",http://ufcstats.com/fighter-details/df3c39573d01f55b
702,Jonathan Brookins,"6' 0""",145 lbs,"74""",Southpaw,"Aug 13, 1985",http://ufcstats.com/fighter-details/b0a6124751a56bc4
703,Will Brooks,"5' 10""",155 lbs,"72""",Orthodox,"Oct 08, 1986",http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
704,Jarred Brooks,"5' 3""",125 lbs,"62""",Switch,"May 02, 1993",http://ufcstats.com/fighter-details/81d9df19e255b8b6
705,Rob Broughton,"6' 2""",265 lbs,"74""",Orthodox,"Mar 03, 1983",http://ufcstats.com/fighter-details/a7d687e6ecb30981
706,Lee Brousseau,"6' 1""",205 lbs,--,,"Oct 04, 1974",http://ufcstats.com/fighter-details/0974d8d4053a7237
707,Matt Brown,"6' 0""",170 lbs,"75""",Orthodox,"Jan 10, 1981",http://ufcstats.com/fighter-details/31123249b0bbf52e
708,Mike Brown,"5' 6""",145 lbs,"70""",Orthodox,"Sep 08, 1975",http://ufcstats.com/fighter-details/e0b74df14f52cd15
709,Dominic Brown,"5' 11""",190 lbs,--,,"Jun 04, 1982",http://ufcstats.com/fighter-details/52b3ec072ad497a4
710,Todd Brown,"5' 11""",205 lbs,--,Orthodox,"Dec 13, 1976",http://ufcstats.com/fighter-details/9b68bf67c5695185
711,Terrell Brown,--,185 lbs,--,,"Apr 13, 1983",http://ufcstats.com/fighter-details/85df85a4e276c90e
712,Chris Brown,--,170 lbs,--,,--,http://ufcstats.com/fighter-details/9e2624ac992660c6
713,Frederick Brown,"6' 0""",235 lbs,--,,--,http://ufcstats.com/fighter-details/880c6b788266a3ef
714,Randy Brown,"6' 3""",170 lbs,"78""",Orthodox,"Jul 08, 1990",http://ufcstats.com/fighter-details/c6aee362c7a7d482
715,Damien Brown,"5' 10""",155 lbs,"68""",Orthodox,"Dec 25, 1984",http://ufcstats.com/fighter-details/d024ed963e8bf7ea
716,TJ Brown,"5' 9""",145 lbs,"72""",Switch,"May 22, 1990",http://ufcstats.com/fighter-details/d31cbcdd7d69536d
717,Humberto Brown Morrison,"5' 10""",145 lbs,--,,"Nov 03, 1984",http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
718,Travis Browne,"6' 6""",255 lbs,"79""",Orthodox,"Jul 17, 1982",http://ufcstats.com/fighter-details/3236bf606fe9fa5b
719,Junie Browning,"5' 9""",155 lbs,--,Orthodox,"May 12, 1984",http://ufcstats.com/fighter-details/d74cba8566291bfa
720,Jules Bruchez,"6' 0""",205 lbs,--,Southpaw,"Aug 16, 1977",http://ufcstats.com/fighter-details/d1dcd4e96464a53d
721,Justin Bruckmann,"5' 9""",170 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
722,Stephanie Bruna,--,115 lbs,--,,"Dec 16, 1999",http://ufcstats.com/fighter-details/1b35af4d1529adf6
723,Cody Brundage,"6' 0""",185 lbs,"72""",Orthodox,"May 16, 1994",http://ufcstats.com/fighter-details/f14f644d41ade29f
724,Steve Bruno,"5' 10""",170 lbs,--,Orthodox,"Nov 03, 1981",http://ufcstats.com/fighter-details/2f3f12002564bb55
725,Fernando Bruno,"5' 6""",145 lbs,--,,"Feb 24, 1982",http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
726,Derek Brunson,"6' 1""",185 lbs,"77""",Southpaw,"Jan 04, 1984",http://ufcstats.com/fighter-details/b1a3e0aca758b322
727,Josh Bryant,"5' 10""",185 lbs,--,Orthodox,"Apr 23, 1980",http://ufcstats.com/fighter-details/01f022fa494188e2
728,Dennis Bryant,"6' 0""",205 lbs,--,Orthodox,"Oct 18, 1985",http://ufcstats.com/fighter-details/3b17353b8002c7d0
729,Lukasz Brzeski,"6' 4""",236 lbs,"78""",Orthodox,"May 17, 1992",http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
730,Justin Buchholz,"6' 0""",155 lbs,"73""",Orthodox,"Aug 22, 1983",http://ufcstats.com/fighter-details/231926533134ec1f
731,Zak Bucia,"5' 10""",170 lbs,--,,--,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
732,Courtney Buck,"5' 10""",135 lbs,--,Orthodox,"Mar 19, 1982",http://ufcstats.com/fighter-details/3feed7d02711d8b7
733,Joaquin Buckley,"5' 10""",170 lbs,"76""",Southpaw,"Apr 27, 1994",http://ufcstats.com/fighter-details/b9437600497350f3
734,Martin Buday,"6' 4""",265 lbs,"77""",Orthodox,"Nov 11, 1991",http://ufcstats.com/fighter-details/8eb046f83e82bf26
735,Julia Budd,"5' 7""",145 lbs,"67""",,"Jul 04, 1983",http://ufcstats.com/fighter-details/dcdc4503b9d49977
736,Mike Budnik,"5' 9""",145 lbs,"68""",Orthodox,"Aug 08, 1974",http://ufcstats.com/fighter-details/b98209144b63ae26
737,Francisco Bueno,"5' 9""",225 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/a72d260b436924c4
738,Mayra Bueno Silva,"5' 6""",135 lbs,"66""",Orthodox,"Aug 22, 1991",http://ufcstats.com/fighter-details/cc8c623cca88f54f
739,Paul Buentello,"6' 2""",245 lbs,"77""",Orthodox,"Jan 16, 1974",http://ufcstats.com/fighter-details/f0abbb6f3444dae7
740,Modestas Bukauskas,"6' 3""",205 lbs,"78""",Switch,"Feb 10, 1994",http://ufcstats.com/fighter-details/476fe566d2df676e
741,Lee Kwan Bum,"6' 2""",286 lbs,--,Orthodox,--,http://ufcstats.com/fighter-details/c0342805a1948cbb
742,Josh Bumgarner,"6' 1""",170 lbs,--,,--,http://ufcstats.com/fighter-details/9900ab86a4c458bd
743,Shawn Bunch,"5' 5""",135 lbs,--,,"Mar 19, 1983",http://ufcstats.com/fighter-details/6e9af164ab91a229
744,Felipe Bunes,--,125 lbs,--,,"Oct 26, 1989",http://ufcstats.com/fighter-details/53c10176e3bc7416
745,Shane Burgos,"5' 11""",145 lbs,"75""",Orthodox,"Mar 19, 1991",http://ufcstats.com/fighter-details/98d961097baaf308
746,Joshua Burkman,"5' 10""",170 lbs,"72""",Orthodox,"Apr 10, 1980",http://ufcstats.com/fighter-details/6da99156486ed6c2
747,Justin Burlinson,"6' 1""",170 lbs,"74""",Switch,"May 19, 1997",http://ufcstats.com/fighter-details/dadd80ef954e54ed
748,Mads Burnell,"5' 8""",145 lbs,"69""",Orthodox,"Mar 06, 1994",http://ufcstats.com/fighter-details/69f01b25dfabaf6b
749,Mikey Burnett,"5' 6""",170 lbs,--,Orthodox,"Apr 12, 1974",http://ufcstats.com/fighter-details/4c805f5f58a75df0
750,Kevin Burns,"5' 10""",170 lbs,"74""",Orthodox,"Mar 03, 1980",http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b
751,Gilbert Burns,"5' 10""",170 lbs,"71""",Orthodox,"Jul 20, 1986",http://ufcstats.com/fighter-details/23024fdfc966410a
752,Josh Burns,"6' 1""",244 lbs,--,,"May 15, 1978",http://ufcstats.com/fighter-details/1e092415a7eeaf65
753,Herbert Burns,"5' 9""",145 lbs,"73""",Orthodox,"Feb 02, 1988",http://ufcstats.com/fighter-details/4f140403000158b5
754,Derrick Burnsed,--,155 lbs,--,,--,http://ufcstats.com/fighter-details/2213330f082f82d5
755,Nah-Shon Burrell,"5' 11""",170 lbs,--,Orthodox,"Feb 05, 1990",http://ufcstats.com/fighter-details/2c64c035485906aa
756,Martin Buschkamp,"5' 9""",145 lbs,--,Orthodox,"Jan 06, 1991",http://ufcstats.com/fighter-details/8fc30d8cebb17116
757,George Bush,"6' 1""",205 lbs,--,,--,http://ufcstats.com/fighter-details/f0c779dc2ca3816c
758,Bubba Bush,"6' 0""",185 lbs,--,Orthodox,"Jul 24, 1985",http://ufcstats.com/fighter-details/132505067f08c54d
759,Dakota Bush,"5' 10""",155 lbs,"73""",Orthodox,"Jun 09, 1994",http://ufcstats.com/fighter-details/3033c1c080672475
760,Murilo Bustamante,"6' 2""",183 lbs,--,Orthodox,"Jul 30, 1966",http://ufcstats.com/fighter-details/85d905f7c4f5a1af
761,Nick Bustamante,"5' 9""",170 lbs,--,,--,http://ufcstats.com/fighter-details/51b1ca2a4b064101
762,Eduardo Bustillos,"5' 8""",135 lbs,--,,"Jun 02, 1987",http://ufcstats.com/fighter-details/f273f1b8df04c8a1
763,Jason Butcher,"6' 3""",185 lbs,--,,"Oct 23, 1984",http://ufcstats.com/fighter-details/30e39145fec48d25
764,Todd Butler,"6' 1""",200 lbs,--,Southpaw,--,http://ufcstats.com/fighter-details/3fed746acfd026dd
